@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
65,'2018/04/07 15:46:51:015',2,377.601837,300.67984,24.409992,392.995026,245.913559,44.159306,330.896027,249.872528,47.408909,282.357544,250.676651,45.304703,193.729324,264.134888,38.071487,1,0,0,0,0,0,0,0,0
66,'2018/04/07 15:46:51:066',2,378.498444,300.940887,24.564806,393.0784,245.863312,44.17099,330.954712,249.857254,47.41497,282.420532,250.66304,45.305367,193.826385,264.133911,38.065994,1,0,0,0,0,0,0,0,0
67,'2018/04/07 15:46:51:115',2,379.504852,301.097107,24.720135,393.255035,245.85318,44.184025,331.011414,249.772186,47.4221,282.581726,250.750168,45.305244,193.999817,264.184509,38.05928,1,0,0,0,0,0,0,0,0
68,'2018/04/07 15:46:51:163',2,379.674072,301.153259,24.778572,393.472351,245.831665,44.176182,331.131165,249.73085,47.418434,282.728912,250.788467,45.302731,194.210938,264.349884,38.063931,1,0,0,0,0,0,0,0,0
69,'2018/04/07 15:46:51:216',2,379.920105,300.968414,24.779516,394.623474,246.548538,44.097607,331.504272,249.836472,47.381268,283.047241,250.96727,45.283081,194.532562,264.706421,38.072701,1,0,0,0,0,0,0,0,0
70,'2018/04/07 15:46:51:264',2,381.53006,300.602234,24.685148,395.706543,247.338684,44.006088,331.774109,250.040741,47.328583,283.30304,251.279251,45.244202,194.913696,265.089264,38.058857,1,0,0,0,0,0,0,0,0
71,'2018/04/07 15:46:51:316',2,382.50293,300.845947,24.68079,396.570831,248.10788,44.020737,332.092102,250.372864,47.373642,283.456635,251.570496,45.301445,195.046265,265.403473,38.150394,1,0,0,0,0,0,0,0,0
72,'2018/04/07 15:46:51:364',2,383.53717,300.30249,24.510542,397.048889,248.393295,44.002609,332.176392,250.467422,47.37257,283.376434,251.62471,45.306797,195.094162,265.449158,38.164455,1,0,0,0,0,0,0,0,0
73,'2018/04/07 15:46:51:415',2,383.976288,299.879639,24.365381,397.349579,248.485916,44.000431,332.042908,250.247726,47.377689,283.168579,251.578369,45.310631,195.146851,265.530579,38.166138,1,0,0,0,0,0,0,0,0
74,'2018/04/07 15:46:51:464',2,383.883728,299.822144,24.305138,397.514801,248.638565,44.009167,331.951782,250.155304,47.386223,283.135803,251.656677,45.315121,195.10968,265.509583,38.162106,1,0,0,0,0,0,0,0,0
75,'2018/04/07 15:46:51:516',2,383.921936,299.497253,24.122957,397.684326,249.105103,43.980171,331.92395,250.193863,47.372044,283.195129,252.06926,45.306351,195.056671,265.694275,38.14743,1,0,0,0,0,0,0,0,0
76,'2018/04/07 15:46:51:564',2,384.108856,299.374664,24.033222,397.823944,249.339111,43.971931,331.80188,249.942062,47.376801,283.170349,252.256592,45.310566,194.841339,265.687012,38.14468,1,0,0,0,0,0,0,0,0
